method,seq_len,sample_id,ppl
RoPE,512,0,10.041310369329635
RoPE,512,1,9.489394065731364
RoPE,512,2,10.050670617897406
RoPE,512,3,12.445904714108657
RoPE,512,4,11.016304386619865
RoPE,512,5,14.48630134886819
RoPE,512,6,11.309172460023676
RoPE,512,7,10.624901307927404
RoPE,512,8,12.082903103125497
RoPE,512,9,16.148889596278444
RoPE,512,10,12.600052025957629
RoPE,512,11,13.125596020352582
RoPE,512,12,9.161019537036566
RoPE,512,13,16.194246872239763
RoPE,512,14,12.40493109862116
RoPE,512,15,21.029377148880645
RoPE,512,16,12.388356151480359
RoPE,512,17,11.24231347555547
RoPE,512,18,17.7060961685087
RoPE,512,19,20.01464970946133
RoPE,512,20,11.169541929648805
RoPE,512,21,8.513712465432238
RoPE,512,22,16.334051719012287
RoPE,512,23,12.424445664958718
RoPE,512,24,12.244856512533646
RoPE,512,25,16.232601154151602
RoPE,512,26,7.7719373181786215
RoPE,512,27,12.545418334452643
RoPE,512,28,12.913512827244475
RoPE,512,29,16.14097938287656
RoPE,512,30,17.63693628676743
RoPE,512,31,17.554309288444156
RoPE,512,32,15.549986976514118
RoPE,512,33,10.062570327976525
RoPE,512,34,22.430527136383787
RoPE,512,35,15.197730488236898
RoPE,512,36,8.131493506563979
RoPE,512,37,14.206148174346245
RoPE,512,38,10.395375521245317
RoPE,512,39,10.649140992069283
RoPE,512,40,13.078792077510279
RoPE,512,41,12.43019962560296
RoPE,512,42,13.256745426570049
RoPE,512,43,10.765430824101626
RoPE,512,44,12.880064801044375
RoPE,512,45,16.182274449096255
RoPE,512,46,11.431247152168623
RoPE,512,47,12.014041810401666
RoPE,512,48,13.619773553572111
RoPE,512,49,13.782395716773715
RoPE,512,50,17.688227298352015
RoPE,512,51,17.804246028116097
RoPE,512,52,9.129504061945944
RoPE,512,53,21.58306438280728
RoPE,512,54,16.22099871166639
RoPE,512,55,20.882272927787678
RoPE,512,56,12.328286923036424
RoPE,512,57,15.28088276000547
RoPE,512,58,12.12531920928219
RoPE,512,59,8.061109105418291
RoPE,512,60,9.884755189818101
RoPE,512,61,9.27347402740543
RoPE,512,62,11.26028903328065
RoPE,512,63,23.414474660427746
RoPE,512,64,13.44752636233147
RoPE,512,65,21.307947472576405
RoPE,512,66,10.940531871139957
RoPE,512,67,11.966915330112883
RoPE,512,68,12.435760564979295
RoPE,512,69,12.398047795290896
RoPE,512,70,18.582494686644253
RoPE,512,71,15.368083987616599
RoPE,512,72,12.737800910996663
RoPE,512,73,16.187175047687443
RoPE,512,74,21.301318829054733
RoPE,512,75,14.325537875026257
RoPE,512,76,12.194454885972709
RoPE,512,77,11.253316440789554
RoPE,512,78,13.437494887192111
RoPE,512,79,9.885259538471768
RoPE,512,80,12.6919016737557
RoPE,512,81,21.925979966863075
RoPE,512,82,22.187631376296977
RoPE,512,83,11.196313409041021
RoPE,512,84,17.527209655520572
RoPE,512,85,11.735132475353407
RoPE,512,86,9.306285224141241
RoPE,512,87,8.410364924090784
RoPE,512,88,10.728242429756255
RoPE,512,89,15.719663429014306
RoPE,512,90,9.418328784508216
RoPE,512,91,15.438620522345559
RoPE,512,92,13.836589202550265
RoPE,512,93,12.599736600823247
RoPE,512,94,14.261973885549343
RoPE,512,95,14.565852844654813
RoPE,512,96,14.623831221557197
RoPE,512,97,12.741199687229894
RoPE,512,98,11.882856160337772
RoPE,512,99,9.57734227640037
RoPE,1024,0,11.285152251680563
RoPE,1024,1,7.407179635772788
RoPE,1024,2,9.394569926901502
RoPE,1024,3,11.009763738387562
RoPE,1024,4,11.054631006806094
RoPE,1024,5,13.875686817922675
RoPE,1024,6,12.575175741948273
RoPE,1024,7,13.190795448535344
RoPE,1024,8,11.57235848966023
RoPE,1024,9,17.387213218213596
RoPE,1024,10,10.555003851072174
RoPE,1024,11,11.214776902638812
RoPE,1024,12,10.496984726602426
RoPE,1024,13,16.043026621206113
RoPE,1024,14,13.630266071954257
RoPE,1024,15,17.486309268247943
RoPE,1024,16,9.961740756305863
RoPE,1024,17,10.742419511246707
RoPE,1024,18,13.58670523983347
RoPE,1024,19,15.258664196187835
RoPE,1024,20,12.571866213816921
RoPE,1024,21,8.378119320824238
RoPE,1024,22,14.751253300566495
RoPE,1024,23,12.60741418788818
RoPE,1024,24,11.639176560085955
RoPE,1024,25,14.503048152635497
RoPE,1024,26,7.686407478918908
RoPE,1024,27,10.061617928873837
RoPE,1024,28,12.350336616407352
RoPE,1024,29,13.883522898338173
RoPE,1024,30,15.02014155566985
RoPE,1024,31,13.793247003652493
RoPE,1024,32,11.730690293037691
RoPE,1024,33,10.644505872802636
RoPE,1024,34,18.693215815468257
RoPE,1024,35,13.867980802348596
RoPE,1024,36,9.89787662155707
RoPE,1024,37,13.361276833873681
RoPE,1024,38,8.189693101261506
RoPE,1024,39,10.903086930253012
RoPE,1024,40,9.845215840861291
RoPE,1024,41,11.938053639581598
RoPE,1024,42,13.846476237506714
RoPE,1024,43,7.972300004397103
RoPE,1024,44,12.57970077259114
RoPE,1024,45,13.325671385717035
RoPE,1024,46,10.245530818448326
RoPE,1024,47,10.773028306058446
RoPE,1024,48,11.331725341199421
RoPE,1024,49,12.137600191654764
RoPE,1024,50,16.719939540537258
RoPE,1024,51,16.597063757740553
RoPE,1024,52,8.70406766766281
RoPE,1024,53,20.051756679084395
