method,seq_len,sample_id,ppl,eval_mode
LAOPPE_L2,8192,25,10.547690893884532,full
LAOPPE_L2,8192,26,9.987038756008626,full
LAOPPE_L2,8192,27,9.842997908885593,full
LAOPPE_L2,8192,28,9.909886035816408,full
LAOPPE_L2,8192,29,9.702952120277807,full
LAOPPE_L2,8192,30,10.171213062634637,full
LAOPPE_L2,8192,31,8.652222043929712,full
LAOPPE_L2,8192,32,8.226960523694657,full
LAOPPE_L2,8192,33,8.179586956041046,full
LAOPPE_L2,8192,34,8.22044909242007,full
LAOPPE_L2,8192,35,9.31526456410508,full
LAOPPE_L2,8192,36,9.907122061230494,full
LAOPPE_L2,8192,37,8.494220054813223,full
LAOPPE_L2,8192,38,7.901222981188052,full
LAOPPE_L2,8192,39,8.05501316512335,full
LAOPPE_L2,8192,40,8.234560767672123,full
LAOPPE_L2,8192,41,6.682526921638587,full
LAOPPE_L2,8192,42,7.817052413213885,full
LAOPPE_L2,8192,43,7.989169828191766,full
LAOPPE_L2,8192,44,9.668885317860202,full
LAOPPE_L2,8192,45,9.27482723885062,full
LAOPPE_L2,8192,46,9.07744409344016,full
LAOPPE_L2,8192,47,9.60411615245732,full
LAOPPE_L2,8192,48,8.502089496510829,full
LAOPPE_L2,8192,49,10.003386436845917,full
