method,seq_len,count,mean_ppl,std_ppl,min_ppl,max_ppl,eval_modes
RoPE,8192,50,10.515654986471738,1.316487207928573,8.031772643980077,12.924650645739678,full
YaRN_x2,8192,50,10.523524408518572,1.3153901409514996,8.010911792786912,12.851657062911016,full
LAOPPE_L2,8192,50,8.564620507938098,1.0416795667921954,6.50153152490536,10.547690893884532,full
